pattern_id,pattern,match_count,seconds
248,*/com.apple.wifi-networks.plist.backup,0,0.501316
249,*/com.apple.wifi.known-networks.plist,1,0.537155
250,*/com.apple.wifi-private-mac-networks.plist,1,0.539605
251,*/mobile/Containers/Data/Application/*/Documents/RCTAsyncLocalStorage_V1/manifest.json,0,1.880096
252,*/Library/Preferences/com.apple.locationd.plist,2,0.532394
253,*/Library/Caches/locationd/clients.plist,1,0.517588
254,*/Library/Preferences/com.apple.routined.plist,1,0.523373
255,*/Documents/search_history/history_words/AWESearchHistory*,0,2.023196
256,*/mobile/Library/Preferences/com.apple.icloud.findmydeviced.FMIPAccounts.plist,1,0.536351
257,*/mobile/Library/ControlCenter/ModuleConfiguration.plist,1,0.515023
258,*/mobile/Library/Logs/AppConduit/AppConduit.log.*,0,1.955287
259,**/com.apple.MobileBluetooth.devices.plist,1,0.556787
260,*/Application/*/Library/Application Support/ChatFiles/*/db.sqlite*,4,1.970436
261,*AwemeIM.db*,1,1.901628
262,*/mobile/Library/Application Support/CloudDocs/session/db/server.db*,3,1.939800
263,*/mobile/Library/Application Support/CloudDocs/session/db/client.db*,3,2.062408
264,*/iTunesMetadata.plist,54,0.554336
265,**/BundleMetadata.plist,80,0.534585
266,*/Biome/streams/public/NowPlaying/local/*,2,1.973347
267,*/Library/Preferences/com.linkedin.LinkedIn.plist,0,0.556282
268,*/Documents/msg_database.sqlite,0,0.540315
269,info.plist,0,0.477608
270,**/speedtest.sqlite*,0,1.981194
271,*/Library/Preferences/com.apple.MobileBackup.plist,1,0.545865
272,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/chunked_upload_storage/pending_uploads,1,1.948149
273,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/chunked_upload_storage/data_cache/*,0,1.941096
274,*/mobile/Containers/Data/Application/*/Documents/database.db*,0,2.005285
275,*/mobile/Library/Preferences/com.apple.MobileSMS.plist,1,0.527756
276,*/mobile/Library/Preferences/com.apple.mobileSMS.plist,0,0.588266
277,*/Chrome/Default/History*,2,2.075451
278,*/app_sbrowser/Default/History*,0,1.940342
279,*/app_opera/History*,0,1.943061
280,*/Chromium/Default/History*,2,1.947505
281,*/Chrome/Default/Web Data*,2,2.066498
282,*/app_sbrowser/Default/Web Data*,0,2.089587
283,*/app_opera/Web Data*,0,1.862106
284,*/Chromium/Default/Web Data*,2,1.871543
285,*/Chrome/Default/Bookmarks*,1,1.864805
286,*/app_sbrowser/Default/Bookmarks*,0,1.916567
287,*/app_opera/Bookmarks*,0,1.811625
288,*/Chromium/Default/Bookmarks*,0,1.898981
